sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AT-13148 30nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,76.4357881926676,-60.80574608874126
_dyn_#AT-13148 3nM.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,33.69546870054138,-29.319493226453382
_dyn_#AT-13148 DMSO.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,105.28810797852178,-85.37552398256388
_dyn_#AT-13148 PDPD.Tech replicate 1 of 1,dyn,AT-13148,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,33.797031234891904,-27.868327649662966
_dyn_#AT-7519 1000nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-32.677934837652835,7.670199568048554
_dyn_#AT-7519 100nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-33.09052192416753,6.952659782919792
_dyn_#AT-7519 10nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,7.238250154798334,-18.136209580221852
_dyn_#AT-7519 30000nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-3.7352235636866076,-9.640990084771545
_dyn_#AT-7519 3000nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-26.495512858654287,3.095523354423321
_dyn_#AT-7519 300nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-19.970385968652337,-1.0898262055043388
_dyn_#AT-7519 30nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-19.564398409903934,-0.08953388383349793
_dyn_#AT-7519 3nM.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,27.517548898405025,-27.8163155754714
_dyn_#AT-7519 DMSO.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-29.26040100310189,3.9524788360661898
_dyn_#AT-7519 PDPD.Tech replicate 1 of 1,dyn,AT-7519,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-25.412708118406577,0.2964602525728822
_dyn_#AT-9283 1000nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,6.6759427666845825,-16.204459898592667
_dyn_#AT-9283 100nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,16.936923254623913,-20.550417781206683
_dyn_#AT-9283 10nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,1.6944866394758533,-10.95653410237067
_dyn_#AT-9283 30000nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,1.5012457086780853,-15.405534968920001
_dyn_#AT-9283 3000nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,43.29308833881505,-38.85435124314945
